Time,Volt
"0,625",-334.838029E-03
"0,6275",-335.589210E-03
"0,63",-335.406459E-03
"0,6325",-334.520965E-03
"0,635",-333.980949E-03
"0,6375",-332.749571E-03
"0,64",-330.526138E-03
"0,6425",-329.131184E-03
"0,645",-326.546607E-03
"0,6475",-323.835361E-03
"0,65",-321.285593E-03
"0,6525",-316.917359E-03
"0,655",-312.733269E-03
"0,6575",-308.465239E-03
"0,66",-303.179210E-03
"0,6625",-298.577966E-03
"0,665",-292.808905E-03
"0,6675",-287.437587E-03
"0,67",-281.276015E-03
"0,6725",-275.779670E-03
"0,675",-268.364430E-03
"0,6775",-262.469707E-03
"0,68",-255.295923E-03
"0,6825",-246.854280E-03
"0,685",-239.931827E-03
"0,6875",-231.979109E-03
"0,69",-223.103404E-03
"0,6925",-215.131878E-03
"0,695",-206.068454E-03
"0,6975",-198.138176E-03
"0,7",-189.610668E-03
"0,7025",-181.555068E-03
"0,705",-171.664915E-03
"0,7075",-161.966920E-03
"0,71",-151.426219E-03
"0,7125",-142.029540E-03
"0,715",-132.754887E-03
"0,7175",-122.990516E-03
"0,72",-113.938737E-03
"0,7225",-104.595027E-03
"0,725",-95.295711E-03
"0,7275",-84.950388E-03
"0,73",-75.298345E-03
"0,7325",-63.970525E-03
"0,735",-53.730936E-03
"0,7375",-44.651744E-03
"0,74",-36.325738E-03
"0,7425",-27.708075E-03
"0,745",-19.403937E-03
"0,7475",-10.747688E-03
"0,75",-1.451635E-03
"0,7525",+6.676664E-03
"0,755",+16.384934E-03
"0,7575",+24.164458E-03
"0,76",+32.279959E-03
"0,7625",+41.058305E-03
"0,765",+49.512686E-03
"0,7675",+57.201051E-03
"0,77",+65.257154E-03
"0,7725",+74.185859E-03
"0,775",+81.399698E-03
"0,7775",+88.815814E-03
"0,78",+95.941833E-03
"0,7825",+103.582608E-03
"0,785",+111.400299E-03
"0,7875",+117.518550E-03
"0,79",+124.075581E-03
"0,7925",+130.555653E-03
"0,795",+136.340150E-03
"0,7975",+141.635376E-03
"0,8",+147.229010E-03
"0,8025",+151.796278E-03
"0,805",+157.012223E-03
"0,8075",+160.881530E-03
"0,81",+164.279651E-03
"0,8125",+168.773715E-03
"0,815",+172.804006E-03
"0,8175",+175.428988E-03
"0,82",+179.289480E-03
"0,8225",+181.016909E-03
"0,825",+183.110987E-03
"0,8275",+185.994356E-03
"0,83",+187.520494E-03
"0,8325",+189.671917E-03
"0,835",+190.654957E-03
"0,8375",+191.921029E-03
"0,84",+192.605130E-03
"0,8425",+193.678922E-03
"0,845",+193.258560E-03
"0,8475",+192.513556E-03
"0,85",+192.375570E-03
"0,8525",+191.298761E-03
"0,855",+189.951276E-03
"0,8575",+189.259991E-03
"0,86",+187.155967E-03
"0,8625",+185.591566E-03
"0,865",+183.408610E-03
"0,8675",+181.260908E-03
"0,87",+179.108654E-03
"0,8725",+175.786827E-03
"0,875",+172.463755E-03
"0,8775",+169.530296E-03
"0,88",+165.669955E-03
"0,8825",+162.497551E-03
"0,885",+158.983437E-03
"0,8875",+155.314928E-03
"0,89",+150.902322E-03
"0,8925",+146.178200E-03
"0,895",+141.700060E-03
"0,8975",+137.054916E-03
"0,9",+132.465716E-03
"0,9025",+126.518150E-03
"0,905",+120.776648E-03
"0,9075",+115.864122E-03
"0,91",+109.868814E-03
"0,9125",+104.090215E-03
"0,915",+98.103906E-03
"0,9175",+91.731461E-03
"0,92",+85.336690E-03
"0,9225",+80.330705E-03
"0,925",+73.687904E-03
"0,9275",+66.910563E-03
"0,93",+60.958674E-03
"0,9325",+54.492178E-03
"0,935",+48.351717E-03
"0,9375",+41.966537E-03
"0,94",+35.697692E-03
"0,9425",+29.146398E-03
"0,945",+23.100843E-03
"0,9475",+16.831869E-03
"0,95",+10.575501E-03
"0,9525",+4.133831E-03
"0,955",-1.814619E-03
"0,9575",-7.524894E-03
"0,96",-13.133760E-03
"0,9625",-19.606621E-03
"0,965",-24.622282E-03
"0,9675",-30.225341E-03
"0,97",-36.142297E-03
"0,9725",-41.409170E-03
"0,975",-46.098154E-03
"0,9775",-52.402244E-03
"0,98",-58.168228E-03
"0,9825",-63.708648E-03
"0,985",-69.851778E-03
